,County,Month,Year,Unemployment Monthly,Households,Persons,EBT Cash
745,San Diego,January,2020,3.3%,145435,266755,31790016
746,San Francisco,January,2020,2.3%,47127,65824,7295166
747,San Joaquin,January,2020,6.7%,46634,95254,11316237
748,San Luis Obispo,January,2020,3.1%,9774,16076,1963240
749,San Mateo,January,2020,2.1%,12173,20834,2550310
750,Santa Barbara,January,2020,4.7%,22381,40745,5240179
751,Santa Clara,January,2020,2.6%,49649,83219,10022139
752,Santa Cruz,January,2020,6.2%,15112,24221,3221301
753,Shasta,January,2020,5.4%,13956,23888,2685566
754,Sierra,January,2020,6.2%,162,257,29024
755,Siskiyou,January,2020,8.3%,3805,7027,807406
756,Solano,January,2020,4.0%,21574,37841,4734861
757,Sonoma,January,2020,2.9%,16482,26810,3199447
758,Stanislaus,January,2020,6.6%,37913,73655,8793332
759,Sutter,January,2020,8.7%,5453,11447,1363330
760,Tehama,January,2020,6.3%,5069,9817,1095139
761,Trinity,January,2020,6.9%,1048,1700,216428
762,Tulare,January,2020,11.0%,50319,113943,13943277
763,Tuolumne,January,2020,4.9%,3080,4809,562666
764,Ventura,January,2020,3.9%,34321,63526,7843973
765,Yolo,January,2020,4.9%,12127,19810,2581665
766,Yuba,January,2020,7.0%,7013,13962,1621720
767,Statewide,February,2020,4.3%,2175527,4063062,500046672
768,Alameda,February,2020,3.0%,65156,112458,13629862
769,Alpine,February,2020,5.0%,69,116,13049
770,Amador,February,2020,4.4%,1494,2586,308150
771,Butte,February,2020,5.4%,16964,28535,3455705
772,Calaveras,February,2020,4.2%,2886,4962,602879
773,Colusa,February,2020,19.8%,741,1519,177301
774,Contra Costa,February,2020,3.1%,33937,63827,7646707
775,Del Norte,February,2020,6.2%,3023,5415,610655
776,El Dorado,February,2020,3.7%,6728,10991,1373268
777,Fresno,February,2020,8.5%,93328,212820,24667118
778,Glenn,February,2020,7.1%,1625,3285,379347
779,Humboldt,February,2020,3.9%,13698,21361,2696997
