County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
Yuba,November,Oct-19,2019,5.2%,"7,017","13,989",384,108,"1,643,359"
Statewide,December,Dec-19,2019,3.7%,"2,178,431","4,092,323","151,631","66,595","504,864,738"
Alameda,December,Dec-19,2019,2.5%,"65,129","112,943","5,146","2,326","13,805,232"
Alpine,December,Dec-19,2019,3.8%,74,117,7,1,"13,673"
Amador,December,Dec-19,2019,3.7%,"1,472","2,540",142,49,"300,014"
Butte,December,Dec-19,2019,4.2%,"17,033","28,688","1,492",764,"3,496,082"
Calaveras,December,Dec-19,2019,3.5%,"2,863","4,877",199,50,"607,694"
Colusa,December,Dec-19,2019,14.2%,723,"1,491",69,24,"171,060"
Contra Costa,December,Dec-19,2019,2.6%,"34,014","64,366","2,444","1,154","7,738,177"
Del Norte,December,Dec-19,2019,5.6%,"2,988","5,370",207,43,"610,430"
El Dorado,December,Dec-19,2019,3.1%,"6,761","11,086",595,145,"1,382,380"
Fresno,December,Dec-19,2019,6.9%,"93,672","214,735","5,631","2,563","24,943,171"
Glenn,December,Dec-19,2019,5.5%,"1,630","3,281",105,24,"374,616"
Humboldt,December,Dec-19,2019,3.1%,"13,807","21,546","1,161",340,"2,721,322"
Imperial,December,Dec-19,2019,19.4%,"18,204","39,934",909,162,"4,549,635"
Inyo,December,Dec-19,2019,3.1%,994,"1,820",54,10,"225,280"
Kern,December,Dec-19,2019,7.2%,"72,333","156,099","4,842","1,246","19,035,813"
Kings,December,Dec-19,2019,7.7%,"11,367","24,035",745,187,"2,855,820"
Lake,December,Dec-19,2019,5.1%,"7,423","12,356",508,151,"1,494,389"
Lassen,December,Dec-19,2019,4.2%,"1,663","3,062",137,26,"367,883"
Los Angeles,December,Dec-19,2019,4.0%,"675,274","1,186,496","42,463","23,746","151,762,407"
Madera,December,Dec-19,2019,6.8%,"11,472","26,136",736,144,"3,174,541"
Marin,December,Dec-19,2019,1.9%,"6,510","9,939",456,173,"1,289,028"
Mariposa,December,Dec-19,2019,4.6%,"1,215","2,076",91,17,"247,580"
Mendocino,December,Dec-19,2019,3.7%,"6,625","11,381",518,106,"1,435,361"
Merced,December,Dec-19,2019,7.9%,"24,637","52,363","1,656",337,"6,339,904"
Modoc,December,Dec-19,2019,7.1%,746,"1,430",47,6,"165,218"
Mono,December,Dec-19,2019,3.0%,352,575,19,6,"79,495"
Monterey,December,Dec-19,2019,7.2%,"18,216","37,708","2,619",568,"4,810,013"
Napa,December,Dec-19,2019,2.9%,"3,081","5,479",374,138,"645,507"
Nevada,December,Dec-19,2019,2.9%,"4,750","7,637",405,166,"970,867"
Orange,December,Dec-19,2019,2.4%,"109,877","206,913","7,799","3,117","24,893,183"
Placer,December,Dec-19,2019,2.7%,"8,662","14,434",597,357,"1,735,742"
Plumas,December,Dec-19,2019,7.8%,"1,302","2,198",96,32,"276,317"
Riverside,December,Dec-19,2019,3.7%,"122,208","245,129","10,336","4,532","30,831,590"
Sacramento,December,Dec-19,2019,3.2%,"109,525","218,697","7,922","3,305","26,570,345"
San Benito,December,Dec-19,2019,5.0%,"2,211","4,402",161,40,"550,363"
San Bernardino,December,Dec-19,2019,3.3%,"159,425","327,437","9,637","3,714","40,781,844"
San Diego,December,Dec-19,2019,2.8%,"145,926","268,700","11,568","5,562","32,204,937"
San Francisco,December,Dec-19,2019,1.9%,"46,918","65,668","2,996","1,421","7,366,084"
San Joaquin,December,Dec-19,2019,5.7%,"46,604","95,549","3,364","1,456","11,385,256"
San Luis Obispo,December,Dec-19,2019,2.5%,"9,797","16,198",758,234,"1,979,481"
San Mateo,December,Dec-19,2019,1.8%,"12,225","21,059","1,095",436,"2,590,651"
Santa Barbara,December,Dec-19,2019,3.6%,"21,728","39,358","2,314",875,"4,961,803"
Santa Clara,December,Dec-19,2019,2.2%,"49,619","83,438","3,069","1,187","10,125,599"
Santa Cruz,December,Dec-19,2019,4.9%,"14,911","24,007","1,093",412,"3,186,530"
Shasta,December,Dec-19,2019,4.2%,"13,974","24,051","1,213",395,"2,715,465"
Sierra,December,Dec-19,2019,4.7%,158,248,9,1,"26,875"
Siskiyou,December,Dec-19,2019,6.3%,"3,799","7,052",321,149,"830,540"
Solano,December,Dec-19,2019,3.4%,"21,683","38,300","1,552",571,"4,835,629"
Sonoma,December,Dec-19,2019,2.4%,"16,484","26,876","1,321",657,"3,234,755"
Stanislaus,December,Dec-19,2019,5.6%,"38,085","74,124","2,664",778,"8,896,495"
Sutter,December,Dec-19,2019,7.3%,"5,378","11,389",415,162,"1,358,245"
Tehama,December,Dec-19,2019,4.9%,"5,058","9,777",432,134,"1,099,549"
Trinity,December,Dec-19,2019,5.2%,"1,049","1,696",93,28,"217,321"
Tulare,December,Dec-19,2019,9.3%,"50,324","113,854","2,475","1,034","13,891,817"
Tuolumne,December,Dec-19,2019,3.9%,"3,059","4,792",290,95,"559,549"
Ventura,December,Dec-19,2019,3.4%,"34,313","63,708","2,583",726,"7,914,338"
Yolo,December,Dec-19,2019,3.9%,"12,082","19,761","1,243",394,"2,596,166"
Yuba,December,Dec-19,2019,5.8%,"7,019","13,942",438,119,"1,635,679"
Statewide,January,Jan-20,2020,4.3%,"2,176,109","4,075,962","187,228","86,463","500,169,011"
Alameda,January,Jan-20,2020,3.1%,"65,302","112,881","6,341","2,939","13,678,807"
Alpine,January,Jan-20,2020,4.6%,77,126,7,0,"14,377"
Amador,January,Jan-20,2020,4.7%,"1,496","2,588",171,41,"305,508"
Butte,January,Jan-20,2020,5.6%,"17,028","28,648","1,901","1,014","3,503,997"
Calaveras,January,Jan-20,2020,4.3%,"2,874","4,919",245,66,"598,445"
Colusa,January,Jan-20,2020,19.2%,738,"1,516",82,25,"177,448"
Contra Costa,January,Jan-20,2020,3.2%,"33,892","64,360","2,857","1,314","7,635,303"
Del Norte,January,Jan-20,2020,6.5%,"2,997","5,380",228,46,"612,047"
El Dorado,January,Jan-20,2020,3.7%,"6,766","11,042",707,222,"1,378,191"
Fresno,January,Jan-20,2020,8.1%,"93,574","214,086","6,755","3,441","24,719,087"
Glenn,January,Jan-20,2020,7.3%,"1,638","3,316",172,35,"384,307"
Humboldt,January,Jan-20,2020,4.1%,"13,855","21,620","1,449",463,"2,710,912"
Imperial,January,Jan-20,2020,18.8%,"18,027","39,338","1,144",216,"4,437,646"
Inyo,January,Jan-20,2020,3.9%,999,"1,822",92,12,"223,433"
Kern,January,Jan-20,2020,8.6%,"71,862","154,628","6,994","2,243","18,857,594"
Kings,January,Jan-20,2020,9.4%,"11,480","24,160","1,013",250,"2,855,968"
Lake,January,Jan-20,2020,6.0%,"7,408","12,246",570,157,"1,460,791"
Lassen,January,Jan-20,2020,5.6%,"1,673","3,049",130,24,"380,343"
Los Angeles,January,Jan-20,2020,4.5%,"674,575","1,180,662","53,124","30,528","149,967,613"
Madera,January,Jan-20,2020,8.1%,"11,550","26,269",791,178,"3,179,812"
Marin,January,Jan-20,2020,2.4%,"6,536","9,944",610,228,"1,287,537"
Mariposa,January,Jan-20,2020,6.2%,"1,207","2,086",75,12,"246,785"
Mendocino,January,Jan-20,2020,4.8%,"6,638","11,397",624,145,"1,429,000"
Merced,January,Jan-20,2020,9.8%,"24,601","52,167","2,094",592,"6,311,790"
Modoc,January,Jan-20,2020,9.7%,754,"1,430",67,11,"164,037"
Mono,January,Jan-20,2020,3.5%,340,560,25,6,"73,794"
Monterey,January,Jan-20,2020,9.7%,"18,863","39,532","2,242",694,"5,187,601"
Napa,January,Jan-20,2020,3.5%,"3,127","5,568",400,120,"654,030"
Nevada,January,Jan-20,2020,3.7%,"4,741","7,593",508,195,"966,560"
Orange,January,Jan-20,2020,2.9%,"109,775","205,555","9,814","3,994","24,646,948"
Placer,January,Jan-20,2020,3.3%,"8,642","14,325",829,454,"1,701,829"
Plumas,January,Jan-20,2020,10.5%,"1,296","2,210",112,46,"271,513"
Riverside,January,Jan-20,2020,4.2%,"120,637","240,982","13,035","5,992","30,089,121"
Sacramento,January,Jan-20,2020,3.9%,"109,778","219,383","9,795","4,273","26,350,892"
San Benito,January,Jan-20,2020,6.2%,"2,215","4,435",234,51,"548,068"
San Bernardino,January,Jan-20,2020,3.9%,"158,541","324,719","13,665","5,551","40,281,453"
San Diego,January,Jan-20,2020,3.3%,"145,435","266,755","13,646","6,872","31,790,016"
San Francisco,January,Jan-20,2020,2.3%,"47,127","65,824","3,529","1,661","7,295,166"
San Joaquin,January,Jan-20,2020,6.7%,"46,634","95,254","3,869","1,740","11,316,237"
San Luis Obispo,January,Jan-20,2020,3.1%,"9,774","16,076",890,330,"1,963,240"
San Mateo,January,Jan-20,2020,2.1%,"12,173","20,834","1,339",543,"2,550,310"
Santa Barbara,January,Jan-20,2020,4.7%,"22,381","40,745","2,667","1,530","5,240,179"
Santa Clara,January,Jan-20,2020,2.6%,"49,649","83,219","3,586","1,453","10,022,139"
Santa Cruz,January,Jan-20,2020,6.2%,"15,112","24,221","1,281",548,"3,221,301"
Shasta,January,Jan-20,2020,5.4%,"13,956","23,888","1,429",462,"2,685,566"
Sierra,January,Jan-20,2020,6.2%,162,257,17,6,"29,024"
Siskiyou,January,Jan-20,2020,8.3%,"3,805","7,027",338,165,"807,406"
Solano,January,Jan-20,2020,4.0%,"21,574","37,841","1,806",673,"4,734,861"
Sonoma,January,Jan-20,2020,2.9%,"16,482","26,810","1,570",811,"3,199,447"
Stanislaus,January,Jan-20,2020,6.6%,"37,913","73,655","3,223","1,034","8,793,332"
Sutter,January,Jan-20,2020,8.7%,"5,453","11,447",556,233,"1,363,330"
Tehama,January,Jan-20,2020,6.3%,"5,069","9,817",454,137,"1,095,139"
Trinity,January,Jan-20,2020,6.9%,"1,048","1,700",91,23,"216,428"
Tulare,January,Jan-20,2020,11.0%,"50,319","113,943","2,532","1,219","13,943,277"
Tuolumne,January,Jan-20,2020,4.9%,"3,080","4,809",317,76,"562,666"
Ventura,January,Jan-20,2020,3.9%,"34,321","63,526","3,088",801,"7,843,973"
Yolo,January,Jan-20,2020,4.9%,"12,127","19,810","1,534",409,"2,581,665"
Yuba,January,Jan-20,2020,7.0%,"7,013","13,962",564,159,"1,621,720"
Statewide,February,Feb-20,2020,4.3%,"2,175,527","4,063,062","148,170","70,598","500,046,672"
Alameda,February,Feb-20,2020,3.0%,"65,156","112,458","5,234","2,499","13,629,862"
Alpine,February,Feb-20,2020,5.0%,69,116,4,0,"13,049"
Amador,February,Feb-20,2020,4.4%,"1,494","2,586",131,37,"308,150"
Butte,February,Feb-20,2020,5.4%,"16,964","28,535","1,420",759,"3,455,705"
Calaveras,February,Feb-20,2020,4.2%,"2,886","4,962",190,45,"602,879"
Colusa,February,Feb-20,2020,19.8%,741,"1,519",79,36,"177,301"
Contra Costa,February,Feb-20,2020,3.1%,"33,937","63,827","2,459","1,165","7,646,707"
Del Norte,February,Feb-20,2020,6.2%,"3,023","5,415",149,25,"610,655"
El Dorado,February,Feb-20,2020,3.7%,"6,728","10,991",553,138,"1,373,268"
Fresno,February,Feb-20,2020,8.5%,"93,328","212,820","5,083","2,602","24,667,118"
Glenn,February,Feb-20,2020,7.1%,"1,625","3,285",115,32,"379,347"
Humboldt,February,Feb-20,2020,3.9%,"13,698","21,361","1,028",319,"2,696,997"
Imperial,February,Feb-20,2020,17.0%,"17,862","38,783",895,190,"4,397,855"
Inyo,February,Feb-20,2020,3.9%,"1,016","1,838",76,10,"227,930"
Kern,February,Feb-20,2020,9.1%,"71,884","155,080","5,967","2,354","18,980,589"
Kings,February,Feb-20,2020,9.8%,"11,451","24,123",709,189,"2,865,536"
Lake,February,Feb-20,2020,5.8%,"7,415","12,261",431,123,"1,470,483"
Lassen,February,Feb-20,2020,5.8%,"1,675","3,077",116,17,"378,982"
Los Angeles,February,Feb-20,2020,4.6%,"674,595","1,176,924","42,835","25,314","150,006,711"
Madera,February,Feb-20,2020,8.0%,"11,608","26,380",607,143,"3,192,735"
Marin,February,Feb-20,2020,2.3%,"6,543","9,938",461,150,"1,292,954"
Mariposa,February,Feb-20,2020,6.3%,"1,225","2,129",76,15,"252,607"
Mendocino,February,Feb-20,2020,4.7%,"6,624","11,322",494,115,"1,433,941"
Merced,February,Feb-20,2020,10.4%,"24,596","52,120","1,490",409,"6,323,689"
Modoc,February,Feb-20,2020,9.8%,750,"1,420",44,12,"159,753"
Mono,February,Feb-20,2020,3.8%,332,552,34,9,"73,238"
Monterey,February,Feb-20,2020,10.0%,"19,029","39,746","1,498",566,"5,061,527"
Napa,February,Feb-20,2020,3.2%,"3,194","5,633",282,92,"656,249"
Nevada,February,Feb-20,2020,3.6%,"4,740","7,561",361,114,"962,611"
Orange,February,Feb-20,2020,2.8%,"109,687","204,605","7,563","3,206","24,581,759"
Placer,February,Feb-20,2020,3.2%,"8,558","14,325",638,369,"1,696,461"
Plumas,February,Feb-20,2020,11.0%,"1,285","2,195",76,25,"267,927"
Riverside,February,Feb-20,2020,4.1%,"119,359","237,652","10,147","4,717","29,819,357"
Sacramento,February,Feb-20,2020,3.7%,"109,702","219,449","7,284","3,122","26,346,960"
San Benito,February,Feb-20,2020,6.2%,"2,233","4,429",154,43,"551,518"
San Bernardino,February,Feb-20,2020,3.8%,"157,663","322,881","10,446","4,119","40,209,248"
San Diego,February,Feb-20,2020,3.2%,"145,979","266,499","11,491","6,191","32,073,160"
San Francisco,February,Feb-20,2020,2.3%,"47,362","66,002","3,046","1,526","7,337,138"
San Joaquin,February,Feb-20,2020,6.6%,"46,722","95,116","3,240","1,487","11,309,492"
San Luis Obispo,February,Feb-20,2020,3.0%,"9,804","16,012",662,237,"1,972,430"
San Mateo,February,Feb-20,2020,2.1%,"12,151","20,603","1,132",439,"2,533,230"
Santa Barbara,February,Feb-20,2020,4.6%,"22,812","41,392","1,801","1,000","5,342,595"
Santa Clara,February,Feb-20,2020,2.6%,"49,781","83,033","2,992","1,208","10,010,889"
Santa Cruz,February,Feb-20,2020,6.4%,"15,163","24,287",920,426,"3,217,914"
Shasta,February,Feb-20,2020,5.4%,"13,956","23,775","1,061",351,"2,676,860"
Sierra,February,Feb-20,2020,6.9%,161,239,12,3,"27,392"
Siskiyou,February,Feb-20,2020,8.5%,"3,838","7,114",304,136,"825,877"
Solano,February,Feb-20,2020,3.9%,"21,470","37,649","1,383",555,"4,713,507"
Sonoma,February,Feb-20,2020,2.8%,"16,424","26,680","1,249",616,"3,190,425"
Stanislaus,February,Feb-20,2020,6.6%,"37,830","73,410","2,684",880,"8,778,720"
Sutter,February,Feb-20,2020,8.9%,"5,495","11,489",379,114,"1,378,975"
Tehama,February,Feb-20,2020,6.2%,"5,083","9,782",405,91,"1,073,864"
Trinity,February,Feb-20,2020,7.3%,"1,084","1,748",88,27,"229,005"
Tulare,February,Feb-20,2020,11.5%,"50,495","114,239","2,179","1,188","13,964,046"
Tuolumne,February,Feb-20,2020,5.0%,"3,088","4,849",254,64,"568,079"
Ventura,February,Feb-20,2020,3.7%,"34,942","63,189","2,524",728,"7,827,565"
Yolo,February,Feb-20,2020,4.8%,"12,155","19,711",807,120,"2,589,897"
Yuba,February,Feb-20,2020,6.9%,"7,057","13,946",428,131,"1,633,957"
Statewide,March,Mar-20,2020,5.6%,"2,191,350","4,077,117","216,817","151,780","503,768,895"
Alameda,March,Mar-20,2020,3.8%,"66,424","114,173","8,152","5,471","13,937,791"
Alpine,March,Mar-20,2020,7.1%,72,120,15,5,"13,602"
Amador,March,Mar-20,2020,5.4%,"1,482","2,531",164,93,"303,908"
Butte,March,Mar-20,2020,6.7%,"17,053","28,521","1,841","1,211","3,491,778"
Calaveras,March,Mar-20,2020,5.4%,"2,907","5,031",267,130,"613,336"
Colusa,March,Mar-20,2020,22.4%,771,"1,600",63,22,"184,751"
Contra Costa,March,Mar-20,2020,4.0%,"34,081","63,989","3,528","2,599","7,708,109"
Del Norte,March,Mar-20,2020,7.6%,"3,056","5,536",210,70,"622,483"
El Dorado,March,Mar-20,2020,4.7%,"6,865","11,186",967,515,"1,412,248"
Fresno,March,Mar-20,2020,10.8%,"93,457","212,957","5,864","3,974","24,749,259"
Glenn,March,Mar-20,2020,8.7%,"1,679","3,386",125,49,"394,129"
Humboldt,March,Mar-20,2020,4.9%,"13,822","21,519","1,438",667,"2,758,237"
Imperial,March,Mar-20,2020,20.5%,"17,769","38,474","1,060",413,"4,378,475"
Inyo,March,Mar-20,2020,4.8%,"1,039","1,866",128,28,"233,525"
Kern,March,Mar-20,2020,12.0%,"72,082","155,326","6,913","3,995","18,977,921"
Kings,March,Mar-20,2020,12.3%,"11,536","24,204",898,350,"2,879,345"
Lake,March,Mar-20,2020,7.0%,"7,456","12,273",568,261,"1,469,890"
Lassen,March,Mar-20,2020,7.2%,"1,683","3,054",127,30,"375,096"
Los Angeles,March,Mar-20,2020,6.4%,"680,466","1,181,670","68,925","58,358","150,966,927"
Madera,March,Mar-20,2020,10.5%,"11,680","26,493",924,333,"3,206,140"
Marin,March,Mar-20,2020,3.0%,"6,754","10,193",843,480,"1,348,642"
Mariposa,March,Mar-20,2020,7.6%,"1,259","2,178",163,78,"264,436"
Mendocino,March,Mar-20,2020,5.9%,"6,692","11,420",647,359,"1,454,375"
Merced,March,Mar-20,2020,12.9%,"24,740","52,282","1,780",752,"6,345,026"
Modoc,March,Mar-20,2020,11.5%,761,"1,425",49,22,"163,195"
Mono,March,Mar-20,2020,4.9%,353,578,134,100,"78,085"
Monterey,March,Mar-20,2020,11.8%,"19,278","40,292","2,346","1,120","5,116,508"
Napa,March,Mar-20,2020,4.0%,"3,294","5,761",504,285,"681,498"
Nevada,March,Mar-20,2020,4.6%,"4,876","7,735",563,372,"999,495"
Orange,March,Mar-20,2020,3.6%,"110,866","205,680","13,314","8,868","24,761,627"
Placer,March,Mar-20,2020,4.0%,"8,691","14,387","1,146",928,"1,734,062"
Plumas,March,Mar-20,2020,13.2%,"1,289","2,198",102,46,"271,594"
Riverside,March,Mar-20,2020,5.3%,"121,285","240,626","15,909","11,139","30,568,510"
Sacramento,March,Mar-20,2020,4.7%,"109,933","218,473","9,041","5,340","26,381,979"
San Benito,March,Mar-20,2020,7.9%,"2,270","4,490",247,126,"566,964"
San Bernardino,March,Mar-20,2020,4.9%,"156,910","320,415","14,501","9,751","40,075,694"
San Diego,March,Mar-20,2020,4.1%,"147,924","268,633","16,135","11,512","32,581,560"
San Francisco,March,Mar-20,2020,3.0%,"47,789","66,545","5,132","3,952","7,395,700"
San Joaquin,March,Mar-20,2020,8.3%,"46,934","95,262","3,903","2,253","11,350,527"
San Luis Obispo,March,Mar-20,2020,3.8%,"9,968","16,154","1,086",709,"2,004,218"
San Mateo,March,Mar-20,2020,2.8%,"12,283","20,809","1,614","1,080","2,563,764"
Santa Barbara,March,Mar-20,2020,5.6%,"23,253","41,904","2,511","1,696","5,414,719"
Santa Clara,March,Mar-20,2020,3.3%,"49,923","82,967","3,414","2,228","10,037,562"
Santa Cruz,March,Mar-20,2020,7.9%,"15,506","24,868","1,555",811,"3,318,922"
Shasta,March,Mar-20,2020,6.8%,"13,979","23,675","1,468",696,"2,690,743"
Sierra,March,Mar-20,2020,8.5%,170,260,18,2,"31,201"
Siskiyou,March,Mar-20,2020,10.0%,"3,880","7,173",330,200,"833,176"
Solano,March,Mar-20,2020,5.0%,"21,596","37,652","1,996","1,150","4,757,662"
Sonoma,March,Mar-20,2020,3.6%,"16,660","26,741","1,373",948,"3,232,099"
Stanislaus,March,Mar-20,2020,8.3%,"37,904","73,491","3,434","1,760","8,823,691"
Sutter,March,Mar-20,2020,11.1%,"5,529","11,534",455,229,"1,380,210"
Tehama,March,Mar-20,2020,7.6%,"5,114","9,805",411,172,"1,098,375"
Trinity,March,Mar-20,2020,9.2%,"1,094","1,795",83,40,"239,286"
Tulare,March,Mar-20,2020,14.5%,"50,677","114,289","2,368","1,060","13,908,921"
Tuolumne,March,Mar-20,2020,6.2%,"3,113","4,929",273,139,"582,174"
Ventura,March,Mar-20,2020,4.6%,"34,169","62,936","3,691","1,796","7,827,128"
Yolo,March,Mar-20,2020,5.9%,"12,174","19,707","1,582",724,"2,566,976"
Yuba,March,Mar-20,2020,8.5%,"7,080","13,946",519,283,"1,641,641"
Statewide,April,Apr-20,2020,16.1%,"2,419,045","4,487,411","346,592","309,058","553,765,690"
Alameda,April,Apr-20,2020,14.1%,"76,979","126,157","13,951","11,895","15,822,035"
Alpine,April,Apr-20,2020,22.1%,86,138,16,6,"15,172"
Amador,April,Apr-20,2020,14.3%,"1,611","2,781",211,162,"333,662"
Butte,April,Apr-20,2020,14.9%,"18,812","31,203","2,264","1,877","3,812,696"
Calaveras,April,Apr-20,2020,13.3%,"3,105","5,432",315,220,"665,686"
Colusa,April,Apr-20,2020,26.3%,873,"1,831",123,72,"207,160"
Contra Costa,April,Apr-20,2020,14.5%,"37,747","68,202","6,337","5,738","8,615,670"
Del Norte,April,Apr-20,2020,13.1%,"3,245","5,772",250,196,"663,517"
El Dorado,April,Apr-20,2020,15.4%,"7,872","12,732","1,255",882,"1,629,103"
Fresno,April,Apr-20,2020,16.7%,"102,436","282,270","9,798","8,770","26,504,518"
Glenn,April,Apr-20,2020,16.2%,"1,756","3,537",170,117,"398,892"
Humboldt,April,Apr-20,2020,13.7%,"15,294","23,845","1,871","1,228","3,030,770"
Imperial,April,Apr-20,2020,28.0%,"18,779","40,673","1,569","1,052","4,693,133"
Inyo,April,Apr-20,2020,13.7%,"1,151","2,082",145,50,"261,006"
Kern,April,Apr-20,2020,18.6%,"76,690","164,496","8,394","6,709","20,088,844"
Kings,April,Apr-20,2020,16.8%,"12,173","25,519","1,005",680,"3,019,689"
Lake,April,Apr-20,2020,15.2%,"8,000","13,335",,,"1,575,108"
Lassen,April,Apr-20,2020,11.6%,"1,829","3,277",163,99,"410,009"
Los Angeles,April,Apr-20,2020,20.3%,"752,273","1,294,689","125,900","123,885","166,459,126"
Madera,April,Apr-20,2020,16.6%,"12,622","28,557","1,272",697,"3,462,446"
Marin,April,Apr-20,2020,11.1%,"7,957","12,204","1,645","1,238","1,607,372"
Mariposa,April,Apr-20,2020,17.8%,"1,509","2,554",283,195,"318,770"
Mendocino,April,Apr-20,2020,14.8%,"7,431","12,720",836,697,"1,619,524"
Merced,April,Apr-20,2020,18.8%,"26,067","55,003","2,339","1,507","6,635,849"
Modoc,April,Apr-20,2020,14.3%,796,"1,484",40,18,"169,769"
Mono,April,Apr-20,2020,22.1%,558,900,202,162,"121,473"
Monterey,April,Apr-20,2020,20.2%,"21,177","43,953","3,073","2,107","5,537,393"
Napa,April,Apr-20,2020,15.9%,"3,926","6,985",982,664,"824,815"
Nevada,April,Apr-20,2020,14.5%,"5,464","8,646",713,607,"1,125,057"
Orange,April,Apr-20,2020,13.8%,"127,910","228,193","20,472","16,980","28,602,087"
Placer,April,Apr-20,2020,13.3%,"9,763","15,805","1,622","1,549","1,964,002"
Plumas,April,Apr-20,2020,20.5%,"1,371","2,342",114,65,"290,292"
Riverside,April,Apr-20,2020,15.3%,"134,406","266,334","22,616","20,877","33,443,211"
Sacramento,April,Apr-20,2020,14.7%,"115,999","220,433","10,545","8,182","27,567,985"
San Benito,April,Apr-20,2020,19.8%,"2,576","5,128",406,297,"637,922"
San Bernardino,April,Apr-20,2020,13.4%,"168,327","342,576","19,520","17,496","42,660,218"
San Diego,April,Apr-20,2020,15.0%,"173,018","311,379","27,868","25,112","38,679,059"
San Francisco,April,Apr-20,2020,12.6%,"53,714","75,243","8,488","7,743","8,690,017"
San Joaquin,April,Apr-20,2020,18.3%,"50,097","101,595","5,856","4,571","12,270,365"
San Luis Obispo,April,Apr-20,2020,13.7%,"11,578","18,378","1,752","1,457","2,373,906"
San Mateo,April,Apr-20,2020,11.4%,"14,285","24,595","3,654","3,073","3,038,249"
Santa Barbara,April,Apr-20,2020,13.7%,"25,416","44,217","3,025","2,543","5,812,270"
Santa Clara,April,Apr-20,2020,11.7%,"55,250","91,263","7,963","7,035","11,349,518"
Santa Cruz,April,Apr-20,2020,17.4%,"17,625","27,611","2,375","1,533","3,683,349"
Shasta,April,Apr-20,2020,15.9%,"15,063","25,642","1,723","1,182","2,919,056"
Sierra,April,Apr-20,2020,14.2%,188,290,16,10,"31,289"
Siskiyou,April,Apr-20,2020,15.8%,"4,210","7,733",415,294,"903,604"
Solano,April,Apr-20,2020,14.9%,"24,193","41,337","3,330","2,548","5,297,677"
Sonoma,April,Apr-20,2020,15.2%,"18,267","29,076","1,823","1,745","3,607,345"
Stanislaus,April,Apr-20,2020,17.0%,"40,220","77,715","4,768","3,516","9,361,281"
Sutter,April,Apr-20,2020,17.9%,"5,879","12,229",650,517,"1,471,634"
Tehama,April,Apr-20,2020,14.5%,"5,401","10,272",505,379,"1,151,023"
Trinity,April,Apr-20,2020,12.8%,"1,192","1,962",103,77,"255,566"
Tulare,April,Apr-20,2020,19.0%,"53,443","115,381","4,010","2,472","14,206,442"
Tuolumne,April,Apr-20,2020,17.2%,"3,412","5,375",380,262,"637,222"
Ventura,April,Apr-20,2020,14.0%,"37,132","68,279","4,955","4,404","8,656,326"
Yolo,April,Apr-20,2020,11.9%,"13,429","21,373","1,833","1,035","2,857,424"
Yuba,April,Apr-20,2020,15.8%,"7,463","14,678",683,574,"1,719,087"
Statewide,May,May-20,2020,15.9%,"2,567,240","4,727,883","241,987","212,843","590,455,817"
Alameda,May,May-20,2020,13.5%,"82,572","134,219","9,886","8,562","17,104,593"
Alpine,May,May-20,2020,22.2%,92,148,7,3,"16,769"
Amador,May,May-20,2020,15.1%,"1,692","2,932",149,113,"353,127"
Butte,May,May-20,2020,13.5%,"19,681","32,491","1,305","1,023","3,935,663"
Calaveras,May,May-20,2020,12.0%,"3,193","5,590",164,111,"700,876"
Colusa,May,May-20,2020,21.1%,919,"1,934",83,57,"213,057"
Contra Costa,May,May-20,2020,13.6%,"40,758","73,309","5,093","4,594","9,408,379"
Del Norte,May,May-20,2020,13.0%,"3,320","5,902",172,111,"678,571"
El Dorado,May,May-20,2020,15.0%,"8,244","13,305",631,397,"1,713,836"
Fresno,May,May-20,2020,15.7%,"106,121","286,792","6,632","5,902","27,594,665"
Glenn,May,May-20,2020,13.7%,"1,810","3,634",98,69,"414,315"
Humboldt,May,May-20,2020,11.8%,"15,865","24,681",959,558,"3,147,998"
Imperial,May,May-20,2020,27.8%,"19,394","41,901","1,261",933,"4,864,011"
Inyo,May,May-20,2020,12.2%,"1,200","2,196",78,16,"278,556"
Kern,May,May-20,2020,18.3%,"81,550","172,901","7,269","5,742","21,143,777"
Kings,May,May-20,2020,16.0%,"12,555","26,337",860,600,"3,109,427"
Lake,May,May-20,2020,15.4%,"8,248","13,771",,,"1,631,578"
Lassen,May,May-20,2020,10.0%,"1,948","3,455",,,"424,185"
Los Angeles,May,May-20,2020,20.6%,"807,785","1,383,112","83,263","79,252","180,083,629"
Madera,May,May-20,2020,15.2%,"13,122","29,751",846,491,"3,604,083"
Marin,May,May-20,2020,10.3%,"8,693","13,345",916,711,"1,787,338"
Mariposa,May,May-20,2020,17.5%,"1,583","2,658",120,73,"326,045"
Mendocino,May,May-20,2020,13.2%,"7,768","13,321",523,401,"1,695,119"
Merced,May,May-20,2020,16.5%,"26,782","56,379","1,675","1,052","6,815,722"
Modoc,May,May-20,2020,11.0%,806,"1,491",27,14,"172,328"
Mono,May,May-20,2020,28.9%,623,"1,010",74,56,"138,908"
Monterey,May,May-20,2020,16.8%,"22,307","46,322","2,126","1,540","5,884,960"
Napa,May,May-20,2020,14.4%,"4,236","7,542",602,425,"884,437"
Nevada,May,May-20,2020,14.2%,"5,769","9,114",375,302,"1,171,088"
Orange,May,May-20,2020,14.5%,"136,916","242,909","15,238","12,824","30,977,590"
