County,Month,Date,Calendar Year,Unemployment Monthly,CalFresh Households,CalFresh Persons,Applications Recevied,Online Applications Received,EBT_FSP_dollars
San Francisco,February,Feb-19,2019,2.4%,"4,773","6,923","2,547","1,184","995,422"
San Joaquin,February,Feb-19,2019,7.0%,"6,022","13,697","2,545",906,"1,571,782"
San Luis Obispo,February,Feb-19,2019,3.2%,"1,447","1,968",776,316,"339,463"
San Mateo,February,Feb-19,2019,2.2%,"1,893","3,557",933,382,"450,596"
Santa Barbara,February,Feb-19,2019,4.8%,"3,420","5,869","1,828",935,"1,078,348"
Santa Clara,February,Feb-19,2019,2.7%,"5,910","11,059","2,712",996,"1,415,644"
Santa Cruz,February,Feb-19,2019,6.7%,"2,338","2,961",983,443,"570,536"
Shasta,February,Feb-19,2019,6.2%,"8,704","16,684",833,223,"409,601"
Sierra,February,Feb-19,2019,7.8%,14,24,5,0,"2,506"
Siskiyou,February,Feb-19,2019,9.6%,520,"1,135",202,79,"130,796"
Solano,February,Feb-19,2019,4.4%,"3,039","4,679","1,340",552,"770,187"
Sonoma,February,Feb-19,2019,3.1%,"3,133","4,223",968,538,"559,908"
Stanislaus,February,Feb-19,2019,7.1%,"5,811","12,999","2,331",574,"1,553,284"
Sutter,February,Feb-19,2019,9.7%,839,"2,004",285,87,"226,161"
Tehama,February,Feb-19,2019,6.8%,655,"1,500",325,102,"166,541"
Trinity,February,Feb-19,2019,7.8%,178,347,45,11,"37,911"
Tulare,February,Feb-19,2019,11.4%,"11,556","13,749","1,809",230,"2,278,780"
Tuolumne,February,Feb-19,2019,5.6%,331,600,190,47,"74,231"
Ventura,February,Feb-19,2019,4.0%,"5,678","9,061","2,436",647,"1,433,218"
Yolo,February,Feb-19,2019,5.1%,"1,641","2,350","1,249",780,"414,742"
Yuba,February,Feb-19,2019,7.7%,917,"2,071",328,80,"227,683"
Statewide,March,Mar-19,2019,4.6%,"1,858,369","3,704,578","141,257","59,100","504,566,648"
Alameda,March,Mar-19,2019,3.3%,"51,429","92,704","5,041","1,940","13,224,526"
Alpine,March,Mar-19,2019,5.1%,70,118,5,0,"14,626"
Amador,March,Mar-19,2019,4.9%,"1,430","2,564",129,29,"329,413"
Butte,March,Mar-19,2019,6.2%,"15,900","28,424","1,329",636,"3,830,152"
Calaveras,March,Mar-19,2019,4.8%,"2,563","4,494",195,41,"592,837"
Colusa,March,Mar-19,2019,20.6%,636,"1,369",57,14,"173,900"
Contra Costa,March,Mar-19,2019,3.5%,"28,670","55,871","2,036",668,"7,720,800"
Del Norte,March,Mar-19,2019,6.4%,"2,443","4,694",145,29,"622,224"
El Dorado,March,Mar-19,2019,4.4%,"6,197","10,561",611,150,"1,404,129"
Fresno,March,Mar-19,2019,9.4%,"87,674","203,905","4,875","1,873","26,644,671"
Glenn,March,Mar-19,2019,8.2%,"1,460","3,126",113,31,"391,315"
Humboldt,March,Mar-19,2019,4.3%,"11,924","19,504","1,181",366,"2,701,781"
Imperial,March,Mar-19,2019,17.8%,"16,164","37,775",887,86,"4,734,106"
Inyo,March,Mar-19,2019,4.8%,970,"1,758",59,1,"233,940"
Kern,March,Mar-19,2019,10.1%,"64,698","147,218","5,118","1,518","19,453,700"
Kings,March,Mar-19,2019,10.3%,"10,331","22,868",697,120,"2,922,059"
Lake,March,Mar-19,2019,6.2%,"6,182","11,069",398,71,"1,452,369"
Lassen,March,Mar-19,2019,6.5%,"1,460","2,819",100,19,"385,603"
Los Angeles,March,Mar-19,2019,4.4%,"538,105","1,024,468","39,400","23,674","142,950,170"
Madera,March,Mar-19,2019,8.9%,"10,686","25,600",627,73,"3,318,171"
Marin,March,Mar-19,2019,2.7%,0,0,,,"1,272,367"
Mariposa,March,Mar-19,2019,6.9%,"1,025","1,853",58,6,"237,584"
Mendocino,March,Mar-19,2019,5.2%,"5,829","10,655",467,48,"1,475,600"
Merced,March,Mar-19,2019,11.0%,"22,155","49,755","1,501",269,"6,530,683"
Modoc,March,Mar-19,2019,10.8%,631,"1,278",35,7,"166,283"
Mono,March,Mar-19,2019,3.7%,373,657,19,6,"87,934"
Monterey,March,Mar-19,2019,10.1%,"18,998","41,839","1,510",534,"5,648,612"
Napa,March,Mar-19,2019,3.5%,"2,711","5,266",245,58,"645,394"
Nevada,March,Mar-19,2019,4.1%,"4,349","7,310",362,118,"969,753"
Orange,March,Mar-19,2019,3.2%,"98,913","193,009","7,611","2,764","25,605,746"
Placer,March,Mar-19,2019,3.7%,"7,650","13,705",597,324,"1,743,139"
Plumas,March,Mar-19,2019,12.8%,"1,136","2,013",102,40,"274,827"
Riverside,March,Mar-19,2019,4.7%,"108,012","230,740","9,591","3,516","30,528,546"
Sacramento,March,Mar-19,2019,4.3%,"91,135","187,629","7,927","2,954","25,948,464"
San Benito,March,Mar-19,2019,6.9%,"2,085","4,370",159,47,"565,646"
San Bernardino,March,Mar-19,2019,4.3%,"145,766","313,010","10,394","3,054","42,018,205"
San Diego,March,Mar-19,2019,3.7%,"130,626","249,791","10,698","5,133","32,576,886"
San Francisco,March,Mar-19,2019,2.6%,"30,457","45,363","2,747","1,136","6,439,536"
San Joaquin,March,Mar-19,2019,7.3%,"42,555","91,471","2,895","1,039","11,934,467"
San Luis Obispo,March,Mar-19,2019,3.3%,"8,930","15,053",774,250,"2,015,022"
San Mateo,March,Mar-19,2019,2.4%,"10,872","20,106","1,075",441,"2,570,085"
Santa Barbara,March,Mar-19,2019,4.9%,"21,053","39,233","1,707",871,"5,458,551"
Santa Clara,March,Mar-19,2019,2.9%,"38,630","71,677","3,026","1,005","9,469,706"
Santa Cruz,March,Mar-19,2019,6.9%,"13,821","23,575",940,395,"3,270,314"
Shasta,March,Mar-19,2019,6.2%,"11,533","21,261","1,020",228,"2,772,586"
Sierra,March,Mar-19,2019,8.5%,127,209,6,2,"26,063"
Siskiyou,March,Mar-19,2019,9.6%,"3,202","6,441",258,90,"836,585"
Solano,March,Mar-19,2019,4.6%,"19,013","34,962","1,393",515,"4,806,861"
Sonoma,March,Mar-19,2019,3.3%,"14,995","24,175","1,124",529,"6,059,337"
Stanislaus,March,Mar-19,2019,7.5%,"34,168","70,460","2,629",628,"9,304,777"
Sutter,March,Mar-19,2019,10.3%,"4,897","11,076",361,114,"1,434,581"
Tehama,March,Mar-19,2019,7.2%,"4,197","8,710",366,102,"1,095,643"
Trinity,March,Mar-19,2019,8.1%,925,"1,600",83,31,"227,551"
Tulare,March,Mar-19,2019,12.1%,"48,232","110,042","2,189",268,"14,727,887"
Tuolumne,March,Mar-19,2019,5.8%,"2,681","4,488",201,39,"578,522"
Ventura,March,Mar-19,2019,4.0%,"31,729","60,946","2,730",677,"8,055,247"
Yolo,March,Mar-19,2019,5.3%,"9,900","17,179","1,071",463,"2,395,596"
